collectioncode,site,year,BumbleBeeSpecies,Abundance,Sex,FlowerGenus,Flowerspecies,Flowerfamily,FlowerFieldName,plantgenus_cleaned,plantspecies_cleaned,plantgenusspecies_cleaned
2022SpringLakeAugust25,Spring_Lake_Park,2022,rufocinctus,1,male,Monarda ,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
2022SpringLakeAugust25,Spring_Lake_Park,2022,rufocinctus,1,male,Lezpedeza,capitata,,,Lespedeza,capitata,Lespedeza_capitata
2022SpringLakeAugust9,Spring_Lake_Park,2022,rufocinctus,1,male,Patrolling,NA,,,patrolling_or_perching,patrolling_or_perching,patrolling_or_perching
2022SpringLakeSeptember12,Spring_Lake_Park,2022,rufocinctus,1,female,Solidago,speciosa,Asteraceae,,Solidago,speciosa,Solidago_speciosa
2022RitterAugust25,Ritter_Farm,2022,vagans,16,female,Impatiens,capensis,,,Impatiens,capensis,Impatiens_capensis
2022RitterAugust25,Ritter_Farm,2022,vagans,1,male,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2022RitterAugust25,Ritter_Farm,2022,vagans,3,male,Impatiens,capensis,,,Impatiens,capensis,Impatiens_capensis
2022RitterAugust25,Ritter_Farm,2022,vagans,1,female,Agastache,sp.,,,Agastache,sp.,Agastache_sp.
2022RitterAugust9,Ritter_Farm,2022,vagans,9,female,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022RitterAugust9,Ritter_Farm,2022,vagans,2,female,Echinacea,purpurea,Asteraceae,echnacea,Echinacea,purpurea,Echinacea_purpurea
2022RitterAugust9,Ritter_Farm,2022,vagans,1,female,Veronicastrum,virginicum,Fabaceae,culvers root,Veronicastrum,virginicum,Veronicastrum_virginicum
2022RitterAugust9,Ritter_Farm,2022,vagans,1,female,Allium,cernuum,Liliaceae,knodding wild onion,Allium,cernuum,Allium_cernuum
2022RitterAugust9,Ritter_Farm,2022,vagans,1,female,Ratibida,pinnata,Asteraceae,rat pin,Ratibida,pinnata,Ratibida_pinnata
2022SpringLakeAugust25,Spring_Lake_Park,2022,vagans,3,female,Physotegia,virginiana,,,Physotegia,virginiana,Physotegia_virginiana
2022SpringLakeAugust25,Spring_Lake_Park,2022,vagans,3,female,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2022SpringLakeAugust25,Spring_Lake_Park,2022,vagans,1,female,Physotegia,virginiana,,,Physotegia,virginiana,Physotegia_virginiana
2022SpringLakeAugust25,Spring_Lake_Park,2022,vagans,1,female,Solidago,canadensis,,,Solidago,canadensis,Solidago_canadensis
2022SpringLakeAugust9,Spring_Lake_Park,2022,vagans,1,female,Monarda ,fistulosa,Lamiaceae,mon fis,Monarda,fistulosa,Monarda_fistulosa
2022SpringLakeSeptember12,Spring_Lake_Park,2022,vagans,2,male,Solidago,speciosa,Asteraceae,,Solidago,speciosa,Solidago_speciosa
2023RitterJuly7,Ritter_Farm,2023,impatiens,18,female,Sorbaria ,sorbifolia,,,Sorbaria,sorbifolia,Sorbaria_sorbifolia
2023RitterJuly7,Ritter_Farm,2023,impatiens,5,female,Cirsium,arvense,,,Cirsium,arvense,Cirsium_arvense
2023RitterJuly7,Ritter_Farm,2023,impatiens,1,male,Cirsium,arvense,,,Cirsium,arvense,Cirsium_arvense
2023RitterJuly7,Ritter_Farm,2023,bimaculatus,8,female,Sorbaria ,sorbifolia,,,Sorbaria,sorbifolia,Sorbaria_sorbifolia
2023RitterJuly7,Ritter_Farm,2023,bimaculatus,1,female,Pycnanthemum,virginianum,,Mt mint,Pycnanthemum,virginianum,Pycnanthemum_virginianum
2023RitterJuly7,Ritter_Farm,2023,bimaculatus,1,female,Agastache,foeniculum,,,Agastache,foeniculum,Agastache_foeniculum
2023RitterJuly7,Ritter_Farm,2023,bimaculatus,5,female,Cirsium,arvense,,,Cirsium,arvense,Cirsium_arvense
2023RitterJuly7,Ritter_Farm,2023,bimaculatus,5,male,Sorbaria ,sorbifolia,,,Sorbaria,sorbifolia,Sorbaria_sorbifolia
2023RitterJuly7,Ritter_Farm,2023,bimaculatus,3,male,Monarda,fistulosa,Lamiaceae,Mon fis,Monarda,fistulosa,Monarda_fistulosa
2023RitterJuly7,Ritter_Farm,2023,bimaculatus,2,male,Nepeta,sp. ,,catmint,Nepeta,sp. ,Nepeta_sp. 
2023RitterJuly7,Ritter_Farm,2023,bimaculatus,1,male,Agastache,foeniculum,,,Agastache,foeniculum,Agastache_foeniculum
2023RitterJuly7,Ritter_Farm,2023,bimaculatus,4,male,Cirsium,arvense,,,Cirsium,arvense,Cirsium_arvense
2023RitterJuly7,Ritter_Farm,2023,griseocollis,1,female,Sorbaria ,sorbifolia,,,Sorbaria,sorbifolia,Sorbaria_sorbifolia
2023RitterJuly7,Ritter_Farm,2023,griseocollis,1,female,Cirsium,arvense,,,Cirsium,arvense,Cirsium_arvense
2023RitterJuly7,Ritter_Farm,2023,griseocollis,1,male,Cirsium,arvense,,,Cirsium,arvense,Cirsium_arvense
2023RitterJuly7,Ritter_Farm,2023,auricomus,1,female,Sorbaria,sorbifolia,,,Sorbaria,sorbifolia,Sorbaria_sorbifolia
2023RitterJuly7,Ritter_Farm,2023,vagans,1,female,Nepeta,sp. ,,catmint,Nepeta,sp. ,Nepeta_sp. 
2023RitterJuly7,Ritter_Farm,2023,vagans,1,female,Echinacea,purpurea,,,Echinacea,purpurea,Echinacea_purpurea
2023RitterJuly7,Ritter_Farm,2023,vagans,1,female,Cirsium,arvense,,,Cirsium,arvense,Cirsium_arvense
2023RitterJuly7,Ritter_Farm,2023,rufocinctus,2,female,Sorbaria,sorbifolia,,,Sorbaria,sorbifolia,Sorbaria_sorbifolia
2023RitterJuly7,Ritter_Farm,2023,rufocinctus,1,female,Trifolium,repens,,,Trifolium,repens,Trifolium_repens
2023RitterJuly7,Ritter_Farm,2023,rufocinctus,1,female,Echinacea,purpurea,,,Echinacea,purpurea,Echinacea_purpurea
2023SpringLakeJuly7,Spring_Lake_Park,2023,bimaculatus,6,female,Monarda,fistulosa,,Mon fist,Monarda,fistulosa,Monarda_fistulosa
2023SpringLakeJuly7,Spring_Lake_Park,2023,bimaculatus,6,female,Desmodium,canadense,,Desmodium,Desmodium,canadense,Desmodium_canadense
2023SpringLakeJuly7,Spring_Lake_Park,2023,bimaculatus,2,female,Dalea,candida, ,,Dalea,candida,Dalea_candida
2023SpringLakeJuly7,Spring_Lake_Park,2023,bimaculatus,2,male,Monarda,fistulosa,,,Monarda,fistulosa,Monarda_fistulosa
